Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1744,ASDK2@qfnetwork.org,paid,2025-08-21 14:10:31 -0400,unfulfilled,,no,USD,136.71,0.00,0.00,136.71,"",0.00,Economy,2025-08-21 14:10:30 -0400,3,Monthly Subscription - 2 books,45.57,147.00,PictureYasmine200,true,true,pending,Testing Order,434 South 5th Street,434 South 5th Street,,,Brooklyn,11211,NY,US,,Testing Order,434 South 5th Street,434 South 5th Street,,,Brooklyn,11211,NY,US,,"","",,(for testing) Bogus Gateway,rfmt8lamrwmFVQmroUT0b435E,0.00,Arabic Book A Month USA,0.00,,,,6142475501704,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New York,New York,rfmt8lamrwmFVQmroUT0b435E,,,rfmt8lamrwmFVQmroUT0b435E + #1744.2
#1745,Blam12@qfnetwork.org,paid,2025-08-21 14:17:46 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",20.00,Economy,2025-08-21 14:17:45 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,"","",,(for testing) Bogus Gateway,r3XaqEM5UwuPJSCvbz6rdOSr4,0.00,Arabic Book A Month USA,0.00,,,,6142486347912,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New Hampshire,New Hampshire,r3XaqEM5UwuPJSCvbz6rdOSr4,,,r3XaqEM5UwuPJSCvbz6rdOSr4 + #1745.2
#1745,Blam12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 14:17:45 -0400,1,In the Jungle /  في الغابة,13.00,0.00,BoardMaaref56,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1745,Blam12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 14:17:45 -0400,1,Damaged - Where is Yasmine's cat?/ اين قطة ياسمين,7.00,0.00,this NoBooks,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,
#1746,mostaer@gmail.com,paid,2025-08-21 14:35:39 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",27.00,Economy,2025-08-21 14:35:38 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,QF Network,5944 Luther Lane,5944 Luther Lane,,,Dallas,75225,TX,US,,QF Network,5944 Luther Lane,5944 Luther Lane,,,Dallas,75225,TX,US,,"","",,(for testing) Bogus Gateway,rNtcMsQVOHsqwQK1FlnLfZE08,0.00,Arabic Book A Month USA,0.00,,,,6142513512584,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,Texas,Texas,rNtcMsQVOHsqwQK1FlnLfZE08,,,rNtcMsQVOHsqwQK1FlnLfZE08 + #1746.2
#1746,mostaer@gmail.com,,,,,,,,,,,,,,2025-08-21 14:35:38 -0400,1,Squeaky Monkey/ القرد,12.00,0.00,BoardMaaref44,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,
#1746,mostaer@gmail.com,,,,,,,,,,,,,,2025-08-21 14:35:38 -0400,1,A Very Naughty Cat/ قط شقي جداً,15.00,0.00,PictureYasmine08,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1747,Aslam1152@qfnetwork.org,paid,2025-08-21 14:37:05 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",25.00,Economy,2025-08-21 14:37:03 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,155 Webster Street,155 Webster Street,,,Hanover,02339,MA,US,,Testing Order,155 Webster Street,155 Webster Street,,,Hanover,02339,MA,US,,"","",,(for testing) Bogus Gateway,rOvHdLpekvARmkp49QKfbEOxj,0.00,Arabic Book A Month USA,0.00,,,,6142515576968,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,Massachusetts,Massachusetts,rOvHdLpekvARmkp49QKfbEOxj,,,rOvHdLpekvARmkp49QKfbEOxj + #1747.2
#1747,Aslam1152@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 14:37:03 -0400,1,Dreams of the Animals / أحلام الحيوانات,10.00,0.00,PictureShorouk05,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,
#1747,Aslam1152@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 14:37:03 -0400,1,Karma's Rabbit/ أرنب كرمة,15.00,0.00,this NoBooks,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1748,ninetail@gmail.com,paid,2025-08-21 14:38:39 -0400,unfulfilled,,no,USD,29.00,4.90,0.00,33.90,"",38.00,Economy,2025-08-21 14:38:38 -0400,1,Monthly Subscription - 3 books,29.00,29.00,PictureYasmine200,true,true,pending,asML MALE,640 Manhattan Avenue,640 Manhattan Avenue,,,Brooklyn,11222,NY,US,,asML MALE,640 Manhattan Avenue,640 Manhattan Avenue,,,Brooklyn,11222,NY,US,,"","",,(for testing) Bogus Gateway,rZEpU9pI8w4svJexl5A4eAEHV,0.00,Arabic Book A Month USA,0.00,,,,6142518001800,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New York,New York,rZEpU9pI8w4svJexl5A4eAEHV,,,rZEpU9pI8w4svJexl5A4eAEHV + #1748.2
#1748,ninetail@gmail.com,,,,,,,,,,,,,,2025-08-21 14:38:38 -0400,1,Pillow: It Moves,10.00,0.00,BoardMajani26,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,
#1748,ninetail@gmail.com,,,,,,,,,,,,,,2025-08-21 14:38:38 -0400,1,Ezz's Diary / يوميات عز,15.00,15.00,PreteenShorouk13,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1748,ninetail@gmail.com,,,,,,,,,,,,,,2025-08-21 14:38:38 -0400,1,The Happy Bouncy Rabbit /الأرنب السعيد النطاط,13.00,0.00,BoardLiban13,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1749,mal@gmail.com,partially_paid,2025-08-21 14:47:27 -0400,unfulfilled,,no,USD,59.00,4.90,0.00,63.90,"",0.00,Economy,2025-08-21 14:47:26 -0400,1,Monthly Subscription - 3 books,29.00,29.00,PictureYasmine200,true,true,pending,Akaskie samya hada,"1217 North Formosa Avenue, STE 4B",1217 North Formosa Avenue,STE 4B,,West Hollywood,90046,CA,US,,Akaskie samya hada,"1217 North Formosa Avenue, STE 4B",1217 North Formosa Avenue,STE 4B,,West Hollywood,90046,CA,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,r4cORGPlVABp7uAyG6gyqqZzY,0.00,Arabic Book A Month USA,30.00,,,,6142529863816,"",Low,web,0.00,,,,,,,,,,,,,,California,California,r4cORGPlVABp7uAyG6gyqqZzY,,,r4cORGPlVABp7uAyG6gyqqZzY + #1749.2
#1749,mal@gmail.com,,,,,,,,,,,,,,2025-08-21 14:47:26 -0400,1,Shapes Box/ صندوق الاشكال,15.00,15.00,Boardshorouk12,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1749,mal@gmail.com,,,,,,,,,,,,,,2025-08-21 14:47:26 -0400,1,Shapes Box/ صندوق الاشكال,15.00,15.00,Boardshorouk12,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1750,wsalam135@qfnetwork.org,partially_paid,2025-08-21 14:53:06 -0400,unfulfilled,,no,USD,56.00,4.90,0.00,60.90,"",0.00,Economy,2025-08-21 14:53:05 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,1155 North 4th Street,1155 North 4th Street,,,Anthony,88021,NM,US,,Testing Order,1155 North 4th Street,1155 North 4th Street,,,Anthony,88021,NM,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,r8uphbbjNTvpVkHVohl4bmsvx,0.00,Arabic Book A Month USA,7.00,,,,6142536777864,"",Low,web,0.00,,,,,,,,,,,,,,New Mexico,New Mexico,r8uphbbjNTvpVkHVohl4bmsvx,,,r8uphbbjNTvpVkHVohl4bmsvx + #1750.2
#1750,wsalam135@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 14:53:05 -0400,1,I can! / أنا أستطيع,7.00,0.00,BoardBoustany08,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1751,bilder@gmail.com,paid,2025-08-21 14:56:30 -0400,unfulfilled,,no,USD,29.00,4.90,0.00,33.90,"",15.00,Economy,2025-08-21 14:56:29 -0400,1,Monthly Subscription - 3 books,29.00,29.00,PictureYasmine200,true,true,pending,SKK SALMAN KAN,7800 Col. H. Weir Cook Memorial Drive,7800 Col. H. Weir Cook Memorial Drive,,,Indianapolis,46241,IN,US,,SKK SALMAN KAN,7800 Col. H. Weir Cook Memorial Drive,7800 Col. H. Weir Cook Memorial Drive,,,Indianapolis,46241,IN,US,,"","",,(for testing) Bogus Gateway,rOwdU100aYSqY48vXMPbuCoDR,0.00,Arabic Book A Month USA,0.00,,,,6142541103240,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,Indiana,Indiana,rOwdU100aYSqY48vXMPbuCoDR,,,rOwdU100aYSqY48vXMPbuCoDR + #1751.2
#1751,bilder@gmail.com,,,,,,,,,,,,,,2025-08-21 14:56:29 -0400,1,My Body: Parts & Senses / جسمي أعضاء وحواس,0.00,0.00,pictureboustany12,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1751,bilder@gmail.com,,,,,,,,,,,,,,2025-08-21 14:56:29 -0400,1,كل هذا بسبب الملوخية / All Because of the Molokhaya,15.00,15.00,PictureShorouk42,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1751,bilder@gmail.com,,,,,,,,,,,,,,2025-08-21 14:56:29 -0400,1,Where is my tooth ? / أين سني ؟,0.00,0.00,pictureyasmine29,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1752,natasha.hecker.22@gmail.com,paid,2025-08-21 14:59:39 -0400,unfulfilled,,no,USD,29.00,4.90,0.00,33.90,"",28.00,Economy,2025-08-21 14:59:38 -0400,1,Monthly Subscription - 3 books,29.00,29.00,PictureYasmine200,true,true,pending,FAST NPUSH,30 Rockefeller Plaza,30 Rockefeller Plaza,,,New York,10112,NY,US,,FAST NPUSH,30 Rockefeller Plaza,30 Rockefeller Plaza,,,New York,10112,NY,US,,"","",,(for testing) Bogus Gateway,rTTVSNO3L6953UZBJX8y4Muf2,0.00,Arabic Book A Month USA,0.00,,,,6142545068168,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New York,New York,rTTVSNO3L6953UZBJX8y4Muf2,,,rTTVSNO3L6953UZBJX8y4Muf2 + #1752.2
#1752,natasha.hecker.22@gmail.com,,,,,,,,,,,,,,2025-08-21 14:59:38 -0400,1,My Body: Parts & Senses / جسمي أعضاء وحواس,0.00,0.00,pictureboustany12,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1752,natasha.hecker.22@gmail.com,,,,,,,,,,,,,,2025-08-21 14:59:38 -0400,1,Jad and Tala series A Cake for Mama - كعكة لماما,13.00,0.00,picturesalwa16,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1752,natasha.hecker.22@gmail.com,,,,,,,,,,,,,,2025-08-21 14:59:38 -0400,1,كل هذا بسبب الملوخية / All Because of the Molokhaya,15.00,15.00,PictureShorouk42,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,15.00,,,,,,,,,,,,,,,,,,,
#1753,Aslam12@qfnetwork.org,paid,2025-08-21 15:01:56 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",13.00,Economy,2025-08-21 15:01:55 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,Testing Order,335 West Main Street,335 West Main Street,,,Hillsborough,03244,NH,US,,"","",,(for testing) Bogus Gateway,rC6MuJaEW8flXlTJumroq3ytY,0.00,Arabic Book A Month USA,0.00,,,,6142548639880,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,New Hampshire,New Hampshire,rC6MuJaEW8flXlTJumroq3ytY,,,rC6MuJaEW8flXlTJumroq3ytY + #1753.2
#1753,Aslam12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 15:01:55 -0400,1,Where is my tooth ? / أين سني ؟,0.00,0.00,pictureyasmine29,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1753,Aslam12@qfnetwork.org,,,,,,,,,,,,,,2025-08-21 15:01:55 -0400,1,Jad and Tala series A Cake for Mama - كعكة لماما,13.00,0.00,picturesalwa16,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,
#1754,mail@mail.com,paid,2025-08-22 14:02:26 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",0.00,Economy,2025-08-22 14:02:24 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,MAIL COM,"701 Xenia Avenue South, Suite 240",701 Xenia Avenue South,Suite 240,,Golden Valley,55416,MN,US,,MAIL COM,"701 Xenia Avenue South, Suite 240",701 Xenia Avenue South,Suite 240,,Golden Valley,55416,MN,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,rY1U9vdEe53HNLCEG7ggoBFsO,0.00,Arabic Book A Month USA,0.00,,,,6144310116488,"",Low,web,0.00,,,,,,,,,,,,,,Minnesota,Minnesota,rY1U9vdEe53HNLCEG7ggoBFsO,,,rY1U9vdEe53HNLCEG7ggoBFsO + #1754.2
#1755,Aslama12@qfnetwork.org,paid,2025-08-22 14:04:58 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",110.00,Economy,2025-08-22 14:04:57 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing Order,900 Corder Road,900 Corder Road,,,Warner Robins,31088,GA,US,,Testing Order,900 Corder Road,900 Corder Road,,,Warner Robins,31088,GA,US,,"","",,(for testing) Bogus Gateway,r0PKxrpJ1hQQbJ2V7T6WMEXi4,0.00,Arabic Book A Month USA,0.00,,,,6144313524360,Created_by_Monthly_Book_Subscription_App,Low,web,0.00,,,,,,,,,,,,,,Georgia,Georgia,r0PKxrpJ1hQQbJ2V7T6WMEXi4,,,r0PKxrpJ1hQQbJ2V7T6WMEXi4 + #1755.2
#1755,Aslama12@qfnetwork.org,,,,,,,,,,,,,,2025-08-22 14:04:57 -0400,1,A Duck in the Train,100.00,0.00,PictureAliaa07,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
#1755,Aslama12@qfnetwork.org,,,,,,,,,,,,,,2025-08-22 14:04:57 -0400,1,Khaled: Conquering Fear/  خالد: هزمت وحش الخوف,10.00,0.00,PreteenRabie12,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,
#1756,wsalam12@qfnetwork.org,paid,2025-08-22 14:06:40 -0400,unfulfilled,,no,USD,49.00,4.90,0.00,53.90,"",0.00,Economy,2025-08-22 14:06:39 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,MALR Drop,Asbury,Asbury,,,Franklin Township,08802,NJ,US,,MALR Drop,Asbury,Asbury,,,Franklin Township,08802,NJ,US,,TEsting Flow Chart Notes,"",,(for testing) Bogus Gateway,rCxrSNqMfXaHqhLIkLxTc9jv4,0.00,Arabic Book A Month USA,0.00,,,,6144316113032,"",Low,web,0.00,,,,,,,,,,,,,,New Jersey,New Jersey,rCxrSNqMfXaHqhLIkLxTc9jv4,,,rCxrSNqMfXaHqhLIkLxTc9jv4 + #1756.2
#1757,wsalam1@qfnetwork.org,partially_paid,2025-08-22 14:15:57 -0400,unfulfilled,,no,USD,56.00,4.90,0.00,60.90,"",0.00,Economy,2025-08-22 14:15:55 -0400,1,Monthly Subscription - 2 books,49.00,49.00,PictureYasmine200,true,true,pending,Testing12 Order321,502 South Closner Boulevard,502 South Closner Boulevard,,,Edinburg,78539,TX,US,,Testing12 Order321,502 South Closner Boulevard,502 South Closner Boulevard,,,Edinburg,78539,TX,US,,"","",,(for testing) Bogus Gateway,rjydR7JXEoH0gIPTLhe2JL4Yy,0.00,Arabic Book A Month USA,7.00,,,,6144329908360,"",Low,web,0.00,,,,,,,,,,,,,,Texas,Texas,rjydR7JXEoH0gIPTLhe2JL4Yy,,,rjydR7JXEoH0gIPTLhe2JL4Yy + #1757.2
#1757,wsalam1@qfnetwork.org,,,,,,,,,,,,,,2025-08-22 14:15:55 -0400,1,I can! / أنا أستطيع,7.00,0.00,BoardBoustany08,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic Book A Month USA,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
